40365709,IL VAGABONDO RESTAURANT,351 EAST 62 STREET 10065,"2128329221,40.761796861936716,-73.96125960874315
40364467,NYAC MAIN DINING ROOM,180 CENTRAL PARK SOUTH 10019,"2127677000,40.76663513000835,-73.97856748599986
40365904,MEE SUM COFFEE SHOP,26 PELL STREET 10013,"2123495260,40.71491793131855,-73.99837545066572
40365968,NANCY WHISKEY PUB,1 LISPENARD ST 10013,"2122269943,40.72057704029925,-74.00500814410975
40366157,NANNI RESTAURANT,146 EAST 46 STREET 10017,"2126974161,40.75371445056254,-73.97359168101048
40365239,DORRIAN'S RED HAND RESTAURANT,1616 2 AVENUE 10028,"2127726660,52.69443612300046,5.178574359000436
40365264,LA GRENOUILLE,3 EAST 52 STREET 10022,"2127520652,40.75954648298489,-73.9756596594649
40365293,ANGELO OF MULBERRY ST.,146 MULBERRY STREET 10013,"2129661277,40.71898759470281,-73.99741051318381
40365166,CORNER BISTRO,331 WEST 4 STREET 10014,"2122429502,40.73804115947303,-74.0038343939413
40365577,V & T RESTAURANT,1024 AMSTERDAM AVENUE 10025,"2126668051,-36.884285458999614,174.75519661200065
40365644,JOE ALLEN RESTAURANT,326 WEST 46 STREET 10036,"2125816464,40.76021449040752,-73.98901150897314
40365942,HOP KEE RESTAURANT,21 MOTT STREET 10013,"2129648365,40.7144252170512,-73.99882671068332
40365324,OYSTER BAR,842 7 AVENUE 10019,"2125866525,40.76371915831362,-73.98138746405942
40366222,KILLARNEY ROSE,80 BEAVER STREET 10005,"2124221486,40.70532302933543,-74.00877693570624
40365871,NEARY'S PUB,358 EAST 57 STREET 10022,"2127511434,40.758474592729385,-73.96339154518284
40365288,KEATS RESTAURANT,842 2 AVENUE 10017,"2126825490,40.75162159865897,-73.97085450982695
40366381,DANGERFIELD'S NIGHT CLUB,1118 1 AVENUE 10065,"2125931650,52.304445718000466,4.756499194000412
40367329,EMERALD PUB,308 SPRING STREET 10013,"2122268512,40.72589764356252,-74.008468952979
40366773,BURGER HEAVEN,9 EAST 53 STREET 10022,"2127520340,40.76009723410118,-73.97499994379154
40366284,3 STAR COFFEE SHOP,541 COLUMBUS AVENUE 10024,"2128746780,40.78655777981879,-73.9720904867857
40367420,GRASSROOT TAVERN,20 ST MARKS PLACE 10003,"2122602876,40.7290645189135,-73.98884213785357
40365726,BARBETTA RESTAURANT,319-321 323 W. 46TH ST. 10036,"2122469171,45.14039989000048,7.762490020000428
40365789,PATSY'S ITALIAN RESTAURANT,236 WEST 56 STREET 10019,"2122473491,40.76569475301153,-73.98262161899169
40366473,TIO PEPE,168 WEST 4 STREET 10014,"2122429338,40.732080025773655,-74.00148452568948
40367544,MALAGA RESTAURANT,406 EAST 73 STREET 10021,"2127377659,40.768193857461654,-73.95489103809012
40367677,CAPITOL RESTAURANT,4933 BROADWAY 10034,"2129425090,40.867617121134344,-73.92150555883364
40366643,THE RIVIERA CAFE,225 WEST 4 STREET 10014,"2129293250,40.733828384273636,-74.002810638999
40366716,SHUN LEE PALACE RESTAURANT,155 EAST 55 STREET 10022,"2123718844,40.75927643815817,-73.96917975544056
40367766,GRAY'S PAPAYA,2080 BROADWAY 10023,"2127990243,40.778015125099046,-73.98191735719945
40367339,COCKTAIL ROOM (NYAC),180 CENTRAL PARK SOUTH 10019,"2127677000,40.76663513000835,-73.97856748599986
